agent,label,seed,personaId,tier,satisfiable,dietStyle,horizonDays,mealsPerDay,snacksPerDay,poolAfterDiet,poolAfterPrep,slotCalls,meanBudget,solveMs,daysJudged,daysInBand
A14,floor12,8675309,p095,EASY,true,paleo,1,3,1,166,122,20,12.000,7,1,0
A14,floor12,8675309,p096,ROBUSTNESS,true,none,1,9,1,910,910,50,20.000,317,1,1
A14,floor12,8675309,p097,EASY,true,none,1,3,1,272,272,4,20.000,4,1,1
A14,floor12,8675309,p098,EASY,true,vegetarian,1,3,0,174,90,15,12.000,6,1,0
A14,floor12,8675309,p099,EASY,true,none,1,3,2,910,910,5,20.000,20,1,1
A14,floor12,8675309,p100,IMPOSSIBLE,false,mediterranean,1,3,3,212,105,30,12.000,8,1,0
A14,floor12,8675309,p101,ROBUSTNESS,true,none,1,3,1,910,910,4,20.000,21,1,1
A14,floor12,8675309,p102,EASY,true,mediterranean,1,3,1,814,324,4,20.000,8,1,1
A14,floor12,8675309,p103,IMPOSSIBLE,false,keto,1,4,1,19,5,5,12.000,1,1,1
A14,floor12,8675309,p104,EASY,true,keto,7,3,1,36,36,140,12.000,17,7,4
A14,floor12,8675309,p105,EASY,true,kosher,1,3,1,459,241,20,20.000,29,1,0
A14,floor12,8675309,p106,HARD,true,none,1,3,1,408,390,4,20.000,10,1,1
A14,floor12,8675309,p107,EASY,true,none,1,3,0,826,826,3,20.000,16,1,1
A14,floor12,8675309,p108,IMPOSSIBLE,false,vegan,1,3,1,20,20,20,12.000,4,1,0
A14,floor12,8675309,p109,IMPOSSIBLE,false,none,7,3,0,199,102,105,12.000,61,7,6
A14,floor12,8675309,p110,EASY,true,none,1,2,0,871,871,10,20.000,66,1,0
A14,floor12,8675309,p111,EASY,true,carnivore,1,2,0,1,1,10,12.000,1,1,0
A14,floor12,8675309,p112,EASY,true,vegetarian,7,3,1,217,217,140,20.000,153,7,4
A14,floor12,8675309,p113,HARD,true,none,1,4,1,306,139,25,13.000,18,1,1
A14,floor12,8675309,p114,EASY,true,keto,1,4,0,53,53,4,12.000,1,1,1
A14,floor12,8675309,p115,EASY,true,keto,7,3,1,28,4,140,12.000,2,2,2
A14,floor12,8675309,p116,EASY,true,none,1,3,2,752,288,5,20.000,5,1,1
A14,floor12,8675309,p117,HARD,true,none,7,4,1,378,378,35,20.000,98,7,7
A14,floor12,8675309,p118,HARD,true,kosher,7,3,1,259,141,28,14.000,17,7,7
A14,floor12,8675309,p119,EASY,true,none,1,2,1,830,830,15,20.000,60,1,1
A14,floor12,8675309,p120,EASY,true,vegetarian,1,5,1,85,85,30,12.000,8,1,1
A14,floor12,8675309,p121,EASY,true,mediterranean,1,4,1,814,736,5,20.000,18,1,1
A14,floor12,8675309,p122,EASY,true,mediterranean,7,3,2,814,814,105,20.000,291,7,7
A14,floor12,8675309,p123,EASY,true,none,1,3,1,687,687,4,20.000,16,1,1
A14,floor12,8675309,p124,EASY,true,none,7,4,1,910,910,35,20.000,160,7,7
A14,floor12,8675309,p125,ROBUSTNESS,true,none,1,9,2,296,296,55,20.000,129,1,0
A14,floor12,8675309,p126,HARD,true,none,1,3,2,532,532,5,20.000,12,1,1
A14,floor12,8675309,p127,HARD,true,vegetarian,1,3,1,304,110,20,12.000,6,1,0
A14,floor12,8675309,p128,EASY,true,mediterranean,7,2,2,774,323,140,20.000,140,7,6
A14,floor12,8675309,p129,EASY,true,none,7,4,1,360,288,35,20.000,68,7,7
A14,floor12,8675309,p130,IMPOSSIBLE,false,vegan,7,4,2,20,20,210,12.000,7,7,0
A14,floor12,8675309,p131,EASY,true,none,1,4,2,910,910,6,20.000,25,1,1
A14,floor12,8675309,p132,EASY,true,none,1,3,2,642,642,20,20.000,56,1,1
A14,floor12,8675309,p133,IMPOSSIBLE,false,vegan,1,3,2,20,20,25,12.000,1,1,0
A14,floor12,8675309,p134,EASY,true,none,1,3,2,728,728,5,20.000,17,1,1
A14,floor12,8675309,p135,EASY,true,vegetarian,7,5,1,327,117,42,12.000,17,7,7
A14,floor12,8675309,p136,EASY,true,none,7,3,2,741,741,35,20.000,111,7,7
A14,floor12,8675309,p137,EASY,true,none,1,4,2,910,910,6,20.000,28,1,1
A14,floor12,8675309,p138,HARD,true,none,7,3,0,285,285,21,20.000,53,7,7
A14,floor12,8675309,p139,HARD,true,vegan,1,4,1,89,89,25,12.000,10,1,1
A14,floor12,8675309,p140,EASY,true,mediterranean,7,3,0,814,814,21,20.000,96,7,7
A14,floor12,8675309,p141,EASY,true,vegetarian,1,3,2,401,401,25,20.000,26,1,1
A14,floor12,8675309,p142,EASY,true,none,1,2,0,401,401,2,20.000,6,1,1
A14,floor12,8675309,p143,EASY,true,vegetarian,7,4,1,327,84,35,12.000,10,7,7
A14,floor12,8675309,p144,EASY,true,kosher,1,3,2,680,317,5,20.000,6,1,1
