agent,label,seed,personaId,tier,satisfiable,dietStyle,horizonDays,mealsPerDay,snacksPerDay,poolAfterDiet,poolAfterPrep,slotCalls,meanBudget,solveMs,daysJudged,daysInBand
A14,cap200div2,424242,p120,EASY,true,vegetarian,1,5,1,85,85,30,42.000,20,1,1
A14,cap200div2,424242,p121,EASY,true,mediterranean,1,4,1,814,736,5,200.000,142,1,1
A14,cap200div2,424242,p122,EASY,true,mediterranean,7,3,2,814,814,35,200.000,715,7,7
A14,cap200div2,424242,p123,EASY,true,none,1,3,1,687,687,4,200.000,105,1,1
A14,cap200div2,424242,p124,EASY,true,none,7,4,1,910,910,35,200.000,587,7,7
A14,cap200div2,424242,p125,ROBUSTNESS,true,none,1,9,2,296,296,55,148.000,791,1,1
A14,cap200div2,424242,p126,HARD,true,none,1,3,2,532,532,5,200.000,93,1,1
A14,cap200div2,424242,p127,HARD,true,vegetarian,1,3,1,304,110,20,55.000,27,1,0
A14,cap200div2,424242,p128,EASY,true,mediterranean,7,2,2,774,323,140,161.000,599,7,6
A14,cap200div2,424242,p129,EASY,true,none,7,4,1,360,288,35,144.000,374,7,7
A14,cap200div2,424242,p130,IMPOSSIBLE,false,vegan,7,4,2,20,20,210,10.000,7,7,0
A14,cap200div2,424242,p131,EASY,true,none,1,4,2,910,910,6,200.000,123,1,1
A14,cap200div2,424242,p132,EASY,true,none,1,3,2,642,642,5,200.000,25,1,1
A14,cap200div2,424242,p133,IMPOSSIBLE,false,vegan,1,3,2,20,20,25,10.000,2,1,0
A14,cap200div2,424242,p134,EASY,true,none,1,3,2,728,728,5,200.000,71,1,1
A14,cap200div2,424242,p135,EASY,true,vegetarian,7,5,1,327,117,42,58.000,63,7,7
A14,cap200div2,424242,p136,EASY,true,none,7,3,2,741,741,35,200.000,1012,7,7
A14,cap200div2,424242,p137,EASY,true,none,1,4,2,910,910,6,200.000,198,1,1
A14,cap200div2,424242,p138,HARD,true,none,7,3,0,285,285,21,142.000,318,7,7
A14,cap200div2,424242,p139,HARD,true,vegan,1,4,1,89,89,10,44.000,10,1,1
A14,cap200div2,424242,p140,EASY,true,mediterranean,7,3,0,814,814,21,200.000,596,7,7
A14,cap200div2,424242,p141,EASY,true,vegetarian,1,3,2,401,401,15,200.000,105,1,1
A14,cap200div2,424242,p142,EASY,true,none,1,2,0,401,401,2,200.000,46,1,1
A14,cap200div2,424242,p143,EASY,true,vegetarian,7,4,1,327,84,35,42.000,26,7,7
A14,cap200div2,424242,p144,EASY,true,kosher,1,3,2,680,317,5,158.000,22,1,1
A14,cap200div2,424242,p145,HARD,true,vegan,1,3,1,46,44,20,22.000,5,1,0
A14,cap200div2,424242,p146,HARD,true,none,1,5,3,306,116,8,58.000,11,1,1
A14,cap200div2,424242,p147,EASY,true,none,7,3,1,605,605,28,200.000,421,7,7
A14,cap200div2,424242,p148,EASY,true,none,1,5,0,426,160,5,80.000,22,1,1
A14,cap200div2,424242,p149,HARD,true,keto,1,2,1,37,5,3,5.000,1,1,1
A14,cap200div2,424242,p150,EASY,true,mediterranean,1,3,2,814,814,5,200.000,96,1,1
A14,cap200div2,424242,p151,EASY,true,none,1,5,0,728,534,5,200.000,102,1,1
A14,cap200div2,424242,p152,EASY,true,keto,1,3,1,53,33,4,16.000,1,1,1
A14,cap200div2,424242,p153,EASY,true,mediterranean,1,2,0,368,368,10,184.000,177,1,1
A14,cap200div2,424242,p154,HARD,true,none,1,5,2,246,165,7,82.000,5,1,1
A14,cap200div2,424242,p155,IMPOSSIBLE,false,vegan,1,5,1,20,20,30,10.000,2,1,0
A14,cap200div2,424242,p156,EASY,true,paleo,1,5,3,164,164,40,82.000,85,1,0
A14,cap200div2,424242,p157,EASY,true,vegetarian,1,3,0,327,84,3,42.000,4,1,1
A14,cap200div2,424242,p158,EASY,true,kosher,1,5,1,612,450,6,200.000,125,1,1
A14,cap200div2,424242,p159,HARD,true,none,1,3,3,171,111,30,55.000,37,1,1
A14,cap200div2,424242,p160,IMPOSSIBLE,false,none,1,3,1,165,72,4,36.000,1,1,1
A14,cap200div2,424242,p161,EASY,true,keto,1,3,1,46,46,4,23.000,0,1,1
A14,cap200div2,424242,p162,EASY,true,none,1,4,1,910,283,5,141.000,10,1,1
A14,cap200div2,424242,p163,HARD,true,vegetarian,7,3,2,327,327,175,163.000,964,7,5
A14,cap200div2,424242,p164,HARD,true,none,1,3,1,366,236,4,118.000,34,1,1
A14,cap200div2,424242,p165,EASY,true,none,1,3,2,642,642,5,200.000,153,1,1
A14,cap200div2,424242,p166,HARD,true,paleo,1,3,2,28,28,25,14.000,2,1,0
