persona,tier,diet,satisfiable,dayOfWeek,inTolerance,binding,slots,filled,unfilled,pinnedAny,pinnedMax,pinnedMin,keto,kcalDeltaPct,proteinShortPct,fatShortPct,fatOverPct,carbShortPct,carbOverPct,poolAfterStack
p173,EASY,vegan,true,0,false,PINNED_AT_BOUND,4,4,0,3,3,2,false,0.114,0,0,0.832,0,0,91
p173,EASY,vegan,true,5,false,PINNED_AT_BOUND,4,4,0,3,3,2,false,0.081,0,0,0.315,0,0.073,91
p173,EASY,vegan,true,6,false,PINNED_AT_BOUND,4,4,0,2,1,2,false,0.085,0,0,0.481,0,0.082,91
p175,IMPOSSIBLE,vegan,false,3,false,STRUCTURAL,5,5,0,2,1,1,false,0.027,0.511,0,0.632,0,0.33,20
p183,EASY,mediterranean,true,0,false,PINNED_AT_BOUND,5,5,0,3,2,3,false,0.352,0.01,0,1.141,0,0.372,241
p183,EASY,mediterranean,true,1,false,PINNED_AT_BOUND,5,5,0,2,0,2,false,0.136,0.161,0,0.146,0,0.611,241
p183,EASY,mediterranean,true,4,false,PINNED_AT_BOUND,5,5,0,2,0,2,false,0.115,0,0,0.481,0,0,241
p183,EASY,mediterranean,true,5,false,PINNED_AT_BOUND,5,5,0,2,0,2,false,0.117,0,0,0.511,0,0,241
p181,HARD,none,true,6,false,PINNED_AT_BOUND,5,5,0,3,0,3,false,0.07,0,0,0,0,0.423,322
p184,IMPOSSIBLE,vegan,false,3,false,STRUCTURAL,5,3,2,1,1,0,false,-0.212,0.78,0,0,0,0.405,10
p189,EASY,none,true,1,false,PINNED_AT_BOUND,6,6,0,4,3,3,false,0.064,0,0,0.417,0,0,392
p189,EASY,none,true,6,false,PINNED_AT_BOUND,6,6,0,5,3,4,false,0.024,0,0,0.311,0.001,0,392
p187,HARD,vegetarian,true,3,false,CARB_OUT_OF_BAND,4,4,0,0,0,0,false,0.081,0,0,0,0,0.847,140
p199,EASY,paleo,true,3,false,FAT_OUT_OF_BAND,3,3,0,1,1,0,false,0.028,0,0,0.306,0.095,0,167
p201,EASY,keto,true,4,false,POOL_EXHAUSTED,6,5,1,3,2,3,true,0.219,0.069,0,0.405,0,0,34
p208,IMPOSSIBLE,vegan,false,3,false,STRUCTURAL,3,2,1,2,2,0,false,-0.383,0.722,0.104,0,0.259,0,20
p211,IMPOSSIBLE,vegan,false,0,false,STRUCTURAL,4,2,2,1,1,0,false,-0.232,0.758,0.1,0,0,0.45,17
p211,IMPOSSIBLE,vegan,false,1,false,STRUCTURAL,4,2,2,2,2,0,false,-0.318,0.858,0.001,0,0,0.324,17
p211,IMPOSSIBLE,vegan,false,2,false,STRUCTURAL,4,2,2,2,2,0,false,-0.368,0.816,0.007,0,0,0,17
