recipe_id,name,slot_type,kcal,protein_g,fat_g,carb_g,fat_g_per_100kcal,protein_g_per_100kcal,carb_g_per_100kcal,fat_kcal_share
cmrj2tyok05m2wlwst1uh8vwt,"Achiote Oil (Aceite Achiotado) Recipe",meal,996.8,0.5,109.2,3,10.96,0.05,0.3,0.986
cmrj2typc05m7wlwsqa6gdqwk,"Ají de Aguacate Recipe (Colombian Spicy Avocado Sauce)",meal,129.59,3.91,8.69,11.84,6.71,3.02,9.13,0.6037
cmrj2tyrp05mqwlwsnzlpw20u,"Bolita di Keshi",meal,819.2,44.1,64.1,16.4,7.82,5.38,2,0.7042
cmrj2tyvo05nkwlwsa6fqlezl,"Chakchouka ",meal,179.25,8.26,12.2,10.15,6.81,4.61,5.67,0.6128
cmrj2tz4r05pkwlwsrqg7qtgt,"French Omelette",meal,368.15,26.37,16.6,40.69,4.51,7.16,11.05,0.4057
cmrj2tzbn05r3wlwstzd6frs0,"Madombi: Dumplings from Botswana",meal,357.78,11.01,1.54,75.34,0.43,3.08,21.06,0.0388
cmrj2tzd105rewlwseisstowa,"Muraba-E-Kadu (Pumpkin Jam)",meal,981,6.4,2.1,242.8,0.21,0.65,24.75,0.0193
cmrj2tzmb05thwlwsh94gt020,"Pizza Express Margherita",meal,302.95,11.39,5.82,52.6,1.92,3.76,17.36,0.1729
cmrj2tzv205vhwlwsvm53hvuk,"Ramen Noodles with Boiled Egg",meal,59.62,2.87,1.41,9.44,2.37,4.81,15.83,0.2135
cmrj2tzxe05vywlws6oaf5nlj,"Shakshouka",meal,209.63,8.8,14.26,12.87,6.8,4.2,6.14,0.6122
cmrj2tzz605wbwlwsx0pparce,"Shakshuka Feta Cheese",meal,167.36,9.73,12.46,4.18,7.44,5.81,2.5,0.6698
cmrj2u02705x0wlwsok2z8xl3,"Syrian Bread",meal,799.05,10.69,51.48,73.48,6.44,1.34,9.2,0.5798
cmrj2u0ar05yywlwspzcfx4in,"Yorkshire Puddings",meal,242.43,11.77,8.23,29.89,3.39,4.86,12.33,0.3054
cmrj2u0bv05z7wlwsc80xf3fy,"Grilled Mac and Cheese Sandwich",meal,1793.21,70.13,132.25,82.33,7.37,3.91,4.59,0.6637
cmrj2u0mh061kwlws6xosgr1y,"Macaroni Pudding",meal,1325.1,28.1,38.8,217.3,2.93,2.12,16.4,0.2635
cmrj2u0sx0631wlwsx84zyil7,"Syrian Spaghetti",meal,351.56,10.38,23.67,25.44,6.73,2.95,7.24,0.6058
cmrj2ua0o083kwlws3nclq0vi,"Algerian Carrots",meal,507.68,4.84,35.4,46.72,6.97,0.95,9.2,0.6276
cmrj2ua3y0847wlws5z2zvgtx,"Almojábanas (Colombian Cheese Bread)",meal,1473.5,70.9,88.8,98.2,6.03,4.81,6.66,0.5424
cmrj2ua9x085gwlws6la18n3d,"Baba Ghanoush",meal,379.58,17.35,29.81,13.04,7.85,4.57,3.44,0.7069
