recipe_id,name,slot_type,kcal,protein_g,fat_g,carb_g,fat_g_per_100kcal,protein_g_per_100kcal,carb_g_per_100kcal,fat_kcal_share
cmrj2u42c06smwlwsqtppatwk,"Tourtiere",meal,832.9,42.09,47.66,59.36,5.72,5.05,7.13,0.515
cmrj2u45b06t9wlws0au9e6r8,"Trinxat (Potato, Cabbage and Bacon Hash)",meal,169.56,8.14,6.42,20.09,3.78,4.8,11.85,0.3406
cmrj2u4v606z1wlwsg5mstirl,"Baked salmon with fennel & tomatoes",meal,283.18,20.56,18.45,10.48,6.51,7.26,3.7,0.5862
cmrj2u4x606zgwlws2jrn8ltv,"Balchi di Pisca",meal,140.73,5.4,1.54,27.26,1.1,3.83,19.37,0.0986
cmrj2u589071swlwshgfim8ca,"Camaro Grelhado Com Molho Cru (Grilled Prawns with Green Onion Sauce)",meal,125.4,27.82,0.53,2.46,0.43,22.18,1.96,0.0383
cmrj2u5ug076nwlwsz0y5hlt5,"Escovitch Fish",meal,628.34,52.38,29.56,42.99,4.7,8.34,6.84,0.4234
cmrj2u5yj077mwlws54pynr6v,"Fish Soup (Ukha)",meal,312.14,17.55,12.06,34.07,3.86,5.62,10.91,0.3478
cmrj2u6bh07anwlws4athcnb2,"Gambas al ajillo",meal,479.35,61.37,24.99,5.88,5.21,12.8,1.23,0.4693
cmrj2u6f107bfwlwsp1jkx0rh,"Garlicky prawns with sherry",meal,213.02,24.95,10.64,4.88,4.99,11.71,2.29,0.4493
cmrj2u6gh07bqwlwsts5g25ki,"Grilled Portuguese sardines",meal,622.17,53.15,36.04,23.68,5.79,8.54,3.81,0.5213
cmrj2u6jq07cgwlwscxyfa2lx,"Jamaican Curry Shrimp Recipe",meal,356.42,34.51,10.64,40.64,2.98,9.68,11.4,0.2686
cmrj2u7ov07lqwlwsay8ehel9,"Quick salt & pepper squid",meal,192.3,16.18,11.91,4.68,6.19,8.42,2.43,0.5575
cmrj2u7u707mwwlwsjmhjexlf,"Salmon Avocado Salad",meal,461.27,25.16,35.14,14.91,7.62,5.45,3.23,0.6856
cmrj2u8pt07tzwlws9h0lxepi,"Sledz w Oleju (Polish Herrings)",meal,568.47,36.22,45.36,1.81,7.98,6.37,0.32,0.7181
cmrj2u9lz080fwlwsrf7ah71a,"Tuna and Egg Briks",meal,720.49,40.81,29.42,77.17,4.08,5.66,10.71,0.3675
cmrj2u9os0812wlws7zpxivsr,"Tuna Nicoise",meal,870.73,36.28,68.73,26.18,7.89,4.17,3.01,0.7104
cmrj2ua0o083kwlws3nclq0vi,"Algerian Carrots",meal,507.68,4.84,35.4,46.72,6.97,0.95,9.2,0.6276
cmrj2uaj8087gwlwsssnykonm,"Boulangère Potatoes",meal,807.6,20,15.49,155.85,1.92,2.48,19.3,0.1726
cmrj2uam90886wlwsrkvcrhbr,"Breadfruit in Butter Sauce",meal,723.48,8.14,58.89,46.64,8.14,1.13,6.45,0.7326
cmrj2uaq0088zwlwstkx3w45w,"Bulgarian Green Salad",meal,251.36,6.38,14.44,27.97,5.75,2.54,11.13,0.5171
cmrj2uasf089iwlwsve1j34w2,"Burek",meal,592.68,22.79,41.93,31.07,7.08,3.85,5.24,0.6368
cmrj2uba708dgwlwssfpkdu9w,"Curried Spinach from Botswana",meal,186.54,3.59,14.59,13.48,7.82,1.92,7.23,0.704
cmrj2ubpc08gqwlwspidl00zi,"Haft Mewa Recipe",meal,839.8,18.7,41.4,117.1,4.93,2.23,13.94,0.4437
cmrj2ubz908iywlwscf06orks,"Jamaican Steamed Cabbage",meal,690.19,18.08,40.91,86.49,5.93,2.62,12.53,0.5334
cmrj2ucb308ljwlwshp004cle,"Lao Som Pak Pickled Cabbage",meal,188.5,10.71,1.1,43.27,0.58,5.68,22.95,0.0523
cmrj2uccf08lswlws07gd8p8x,"Mango chow",meal,62.62,2.61,0.41,15.49,0.65,4.18,24.75,0.0585
cmrj2ucxb08qhwlws21ulsvoz,"Smoky tomato pepper salsa",meal,238.51,2.48,21.19,11.39,8.88,1.04,4.78,0.7994
cmrj2ud0108qywlws9rmo7ld9,"Snert (Dutch Split Pea Soup)",meal,1119.85,54.9,71.03,66.18,6.34,4.9,5.91,0.5709
cmrj2uduc08xtwlwsdxsv2yjq,"Simple heart of palm & tomato salad",meal,280.65,7.16,22.12,17.6,7.88,2.55,6.27,0.7092
cmrj2udxf08yhwlws7zzndep6,"Padron peppers",meal,64.4,2.1,4,6.7,6.21,3.26,10.4,0.559
cmrj2udy808ymwlwsfpn3ddoy,"Red onion pickle",meal,406,8.5,8.5,96.4,2.09,2.09,23.74,0.1884
cmrj2ue950910wlwspp7h0swp,"Air fryer patatas bravas",meal,306.01,6.79,11.04,47.44,3.61,2.22,15.5,0.3246
cmrj2uf1z0979wlwsp7yt4ea5,"Chtitha Batata (Algerian Potato Stew)",meal,107.68,4.07,7.67,8.38,7.13,3.78,7.79,0.6413
cmrj2uf6y098dwlwsih4uzbf3,"Creamy Aji green sauce",meal,79.55,2.26,3.08,12.93,3.87,2.84,16.25,0.3484
cmrj2ufdh099uwlwsyy7re0ty,"Dal fry",meal,251.58,9.79,8.35,36.35,3.32,3.89,14.45,0.2986
cmrj2ufkm09biwlwsh88tcsse,"Egg Drop Soup",meal,99.76,5.8,3.4,11.46,3.41,5.81,11.49,0.307
cmrj2uh6109o9wlws7j4etwqa,"Moroccan Carrot Soup",meal,79.62,1.3,3.85,10.99,4.84,1.64,13.81,0.4352
cmrj2uhdd09pywlwstuqxwwfz,"Patatas bravas",meal,365.31,6.51,17.99,47.08,4.93,1.78,12.89,0.4433
cmrj2uhfw09qlwlwsekwxg52l,"Pisto con huevos",meal,931.55,19.17,64.25,96.73,6.9,2.06,10.38,0.6208
cmrj2uhit09rawlws59bv1ar1,"Pomegranate salad",meal,289.87,7.52,18.01,31.89,6.21,2.59,11,0.5593
cmrj2uhl909rvwlwsiy6bq8wa,"Potato Salad (Olivier Salad)",meal,658.92,24.31,30.28,75.39,4.6,3.69,11.44,0.4136
cmrj2uhqt09t7wlwsgyejz3ia,"Ratatouille",meal,234.14,5.54,17.97,16.02,7.67,2.37,6.84,0.6906
cmrj2uif109ydwlws6vccg4sr,"Shopska Salad",meal,202.09,4.57,17,9.81,8.41,2.26,4.85,0.757
cmrj2uj6u0a4gwlwsjilyp9lu,"Sweet potato salad",meal,283.07,9.18,12.01,41.45,4.24,3.24,14.64,0.3818
cmrj2uje60a61wlwse49h67fc,"Tangy cabbage slaw",meal,194.27,1.89,11.73,22.31,6.04,0.97,11.48,0.5436
cmrj2ujq00a8nwlwsd0yu5nrk,"Thai pumpkin soup",meal,218.34,5.46,7.75,37.04,3.55,2.5,16.97,0.3195
cmrj2ujys0aaswlws9xb8z2b2,"Tortang Talong",meal,104.2,8.5,6.9,1.4,6.62,8.16,1.34,0.596
cmrj2uk4r0ac5wlws8cr7de8c,"Vegetarian Shakshuka",meal,115.65,6.03,3.85,15.03,3.32,5.21,13,0.2992
cmrj2ukdi0ae6wlwsd9nh4l1n,"Breakfast Potatoes",meal,372.7,11.06,13.38,53.4,3.59,2.97,14.33,0.323
cmrj2ukop0aglwlwsc8i4j96l,"Grits",meal,13.3,0.2,0.3,2.3,2.26,1.5,17.29,0.203
cmrj2ukxl0aiiwlwsa9aanjo5,"Salmon Eggs Eggs Benedict",meal,1360.48,47.84,110.14,45.58,8.1,3.52,3.35,0.7286
cmrj2ul7s0aktwlwshcyhl6ke,"Jamaican Curry Goat",meal,598.39,77.44,16.96,37.92,2.83,12.94,6.34,0.2551
cmrujkwr70040wl9otg8s1bb9,"Spiced Chicken & Onions with Potato",meal,489,43.64,14.75,44.12,3.02,8.93,9.02,0.2714
cmrujkwra0046wl9ods3ggn18,"Spiced Chicken & Bell Peppers with Potato",meal,489.8,43.78,14.93,43.32,3.05,8.94,8.84,0.2743
cmrujkws4005owl9o5ilc9tvd,"Mediterranean Chicken & Cucumber with Bulgur",meal,409.9,42.73,14.89,25.91,3.63,10.42,6.32,0.327
cmrujkws7005uwl9o7ouvrozv,"Mediterranean Chicken & Onions with Bulgur",meal,443.54,46.69,14.28,33.56,3.22,10.53,7.57,0.2897
cmrujkwsh006cwl9ok7nytrch,"Mediterranean Salmon & Cucumber with Bulgur",meal,517.9,35.08,30.54,25.91,5.9,6.77,5,0.5307
