recipe_id,name,slot_type,kcal,protein_g,fat_g,carb_g,fat_g_per_100kcal,protein_g_per_100kcal,carb_g_per_100kcal,fat_kcal_share
cmrj2tl8h02mdwlwsa7eiff1h,"Kentucky Fried Chicken",meal,704.63,11.87,55.05,43.58,7.81,1.68,6.19,0.7031
cmrj2tlcd02ncwlwsrd924tpf,"Kung Pao Chicken",meal,604.95,33.18,37.32,37.35,6.17,5.48,6.17,0.5552
cmrj2tlfh02o3wlwstiztsyvf,"Nom Banh Chok – Cambodian Noodle Soup",meal,407.52,35.36,19.93,22.19,4.89,8.68,5.45,0.4401
cmrj2tlia02oswlwsvtozmnh5,"Nutty Chicken Curry",meal,1083.4,75.5,73.19,41.61,6.76,6.97,3.84,0.608
cmrj2tlko02pbwlwsja3ems5q,"Pad See Ew",meal,217.8,11.2,14.8,10.9,6.8,5.14,5,0.6116
cmrj2tlnp02q0wlws8057l21f,"Pastel de Choclo",meal,734.6,47.3,33.1,71.1,4.51,6.44,9.68,0.4055
cmrj2tlrj02qxwlws7c0t2do4,"Piri-piri chicken and slaw",meal,958.51,73.36,65.42,16.7,6.83,7.65,1.74,0.6143
cmrj2tlw102rwwlwsz0fyjwlr,"Pollo en pepitoria",meal,1451.24,97.14,83.15,95.87,5.73,6.69,6.61,0.5157
cmrj2tm2n02tgwlws321liodh,"Poulet Roti a l'Algerienne (Algerian Roast Chicken)",meal,231.3,5.4,21.1,5.1,9.12,2.33,2.2,0.821
cmrj2tm5a02u1wlwsy7d5gmx7,"Red curry chicken kebabs",meal,158.91,21.1,4,9.46,2.52,13.28,5.95,0.2266
cmrj2tm7802ugwlwss66ckgdx,"Roasted chicken with creamy walnut sauce",meal,1367.26,91.37,67.63,98.2,4.95,6.68,7.18,0.4452
cmrj2tmai02v5wlws98ceefed,"Rosol (Polish Chicken Soup)",meal,399.21,26.49,20.74,32.01,5.19,6.64,8.02,0.4675
cmrj2tmdt02vwwlws5yawf66s,"Samlar Kari – Khmer Red Curry",meal,387.39,33.37,20.06,17.98,5.18,8.61,4.64,0.4661
cmrj2tmhc02wpwlwsndzifnoh,"Samlar Machu Kreung – Cambodian Sour Stew",meal,368.72,32.81,16.82,21.99,4.56,8.9,5.96,0.4106
cmrj2tmm402xewlws75ifvium,"Shawarma",meal,1102.5,86.67,40.82,93.02,3.7,7.86,8.44,0.3332
cmrj2tmq402y9wlwsqahfcq5y,"Smoky chicken skewers",meal,560.05,54.64,35.72,1.76,6.38,9.76,0.31,0.574
cmrj2tmuv02zbwlws3pg3b96r,"Spanish Chicken",meal,608.04,69.41,32.53,6.12,5.35,11.42,1.01,0.4814
cmrj2tmwt02zqwlwsjjxlmhp7,"Spanish chicken pie",meal,513.92,29.83,20.99,53.77,4.08,5.8,10.46,0.3675
cmrj2tmze0309wlwsxxzmph6y,"Spiced smoky barbecued chicken",meal,1191.29,110.12,60.96,62.77,5.12,9.24,5.27,0.4606
cmrj2tn25030wwlwsfnl5g7ks,"Sticky Chicken",meal,282.3,6,26,7.1,9.21,2.13,2.52,0.8289
cmrj2tn3r0319wlws0x51bg5s,"Stir-fried chicken with chillies & basil",meal,441.98,27.22,24.24,28.01,5.48,6.16,6.34,0.4935
